L_http,L_https,L_numHyphens,L_numParams,L_numSubDomains,L_paramLen,L_pathLen,M_app,M_hasFBUrl,M_hasFBappURL,M_hasFBeventURL,M_hasLink,M_hasMessage,M_hasPicture,M_hasStory,M_length_of_link,M_postType,T_!,T_!!,T_:(,T_:),T_?,T_??,T_avgSentLen,T_avgWordLen,T_engDictWords,T_hashtagsPerWord,T_numChars,T_numHashtags,T_numSentences,T_numUrls,T_numWords,T_textRepFactor,T_upperCaseChars,T_urlsPerWord,U_category,U_gender,U_hasUsername,U_isPage,U_lenName,U_lenUsername,U_locale,U_pageLikes,U_wordsInName,Z_CLASS
0,0,0,0,0,0,0,mobile,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,96,6.8383838384,23,0,638,0,8,0,99,1.32,40,0,9,0,0,1,13,0,0,2955,3,Spam
0,0,0,0,0,0,0,mobile,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,147.7005988024,4.8228704784,3444,0,20384,0,167,0,4285,3.0368532955,1009,0,50,0,1,1,0,13,0,224,0,Spam
0,1,0,2,3,31.5,2,thirdparty,0,1,0,1,0,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,11,11,0,0,2,Spam
0,0,0,0,0,0,0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,124.0426356589,5.1655794321,3923,0,26780,0,258,0,5212,2.4678030303,1155,0,0,1,1,0,16,17,3,0,3,Spam
1,0,0,1,3,11,1,thirdparty,0,0,0,1,0,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,1,0,0,0,145,0,Spam
1,0,0,1,2,6,1,contentsharing,0,0,0,1,1,1,0,36,1,0,0,0,0,0,0,29,5,2,0,24,0,1,1,5,1,0,0.2,0,0,0,0,13,0,0,0,2,Spam
0,1,0,2,3,32.5,2,thirdparty,0,1,0,1,0,1,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,11,16,1,0,2,Spam
1,0,0,0,2,0,1,web,0,0,0,1,1,1,0,33,1,1,0,0,0,0,0,313.5,6.8625,30,0,515,0,2,2,80,1.0256410256,66,0.025,0,0,0,0,15,0,0,0,2,Spam
0,1,0,2,3,31.5,2,thirdparty,0,1,0,1,0,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,0,18,18,1,0,2,Spam
0,1,0,2,3,29,2,thirdparty,0,1,0,1,0,1,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,13,16,1,0,2,Spam
0,1,0,3,3,13.3333333333,2,thirdparty,0,1,0,1,0,1,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,9,9,4,0,2,Spam
0,0,0,0,0,0,0,mobile,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,52,5.625,3,0,44,0,1,0,8,1,0,0,0,1,1,0,9,8,1,0,3,Spam
1,0,0,1,3,11,1,thirdparty,0,0,0,1,0,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,1,0,0,0,159,0,Spam
0,1,0,0,3,0,3,web,1,0,1,1,0,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,76,0,1,1,5,12,0,730,1,Spam
0,1,0,2,3,32.5,2,thirdparty,0,1,0,1,0,1,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,11,11,36,0,2,Spam
0,1,0,3,3,24.6666666667,1,mobile,1,0,0,1,0,1,1,111,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,16,15,1,0,3,Spam
0,1,0,6,3,16.8333333333,2,thirdparty,0,1,0,1,0,1,0,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,16,16,1,0,2,Spam
1,1,18,5,3.2,18.6,2.5333333333,web,1,0,1,1,1,1,0,102,4,1,0,0,0,1,0,221.2558139535,7.3919510061,796,0,8145,0,43,7,1143,1.7503828484,546,0.0061242345,0,1,1,0,12,12,3,0,2,Spam
1,0,5,0,3,0,3,contentsharing,0,0,0,1,0,1,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,30,7,3,0,4,Spam
0,1,0,0,3,0,3,web,1,0,1,1,0,0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,41,5,0,90,8,Spam
0,1,0,0,3,0,3,web,1,0,1,1,0,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,19,17,0,7859,3,Spam
0,1,0,1,3,13,1,contentsharing,0,0,0,1,0,1,1,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,42,0,1,1,6,6,0,93,1,Spam
0,1,0,2,3,32.5,2,thirdparty,0,1,0,1,0,1,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,12,14,3,0,2,Spam
0,1,14,0,3,0,3,contentsharing,1,0,0,1,0,0,0,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,1,1,60,9,0,8305,12,Spam
0,1,0,0,3,0,3,contentsharing,1,0,0,1,0,1,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,11,16,1,0,2,Spam
1,0,0,0,2,0,1,contentsharing,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,126,6.4705882353,7,0.1764705882,110,3,1,1,17,1,31,0.0588235294,0,0,1,1,8,10,0,158,1,Spam
1,0,0,3,3,23,1,contentsharing,1,0,0,1,0,1,1,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,0,18,19,7,0,3,Spam
1,0,0,1,3,11,1,thirdparty,0,0,0,1,0,1,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,1,0,0,0,592,0,Spam
1,0,0,0,3,0,4,contentsharing,0,0,0,1,0,1,1,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,10,0,0,0,2,Spam
